,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:482,bird:470,bird:392,bird:459
person:2,0,1664,472,2529,1759,126,755,2799,2800,1682,1292,635,1328,1442,924
person:3,1664,0,1192,865,146,1601,2419,1136,1429,2827,372,1971,1848,992,1729
person:5,472,1192,0,2057,1289,418,1227,2327,2371,1928,820,906,1287,1094,942
person:119,2529,865,2057,0,778,2466,3284,274,1125,3596,1237,2812,2554,1625,2516
handbag:137,1759,146,1289,778,0,1704,2515,1043,1466,2966,475,2094,1994,1137,1867
handbag:363,126,1601,418,2466,1704,0,823,2738,2698,1617,1231,565,1207,1326,806
person:370,755,2419,1227,3284,2515,823,0,3554,3495,1483,2047,778,1655,2082,1281
person:377,2799,1136,2327,274,1043,2738,3554,0,1199,3863,1507,3086,2814,1883,2786
bird:443,2800,1429,2371,1125,1466,2698,3495,1199,0,3320,1696,2833,2247,1435,2392
bird:383,1682,2827,1928,3596,2966,1617,1483,3863,3320,0,2526,1052,1080,1994,1098
person:468,1292,372,820,1237,475,1231,2047,1507,1696,2526,0,1623,1608,872,1430
bird:482,635,1971,906,2812,2094,565,778,3086,2833,1052,1623,0,878,1398,507
bird:470,1328,1848,1287,2554,1994,1207,1655,2814,2247,1080,1608,878,0,931,406
bird:392,1442,992,1094,1625,1137,1326,2082,1883,1435,1994,872,1398,931,0,972
bird:459,924,1729,942,2516,1867,806,1281,2786,2392,1098,1430,507,406,972,0
