,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:392,bird:489,bird:459
person:2,0,1663,467,2533,1815,132,750,2804,2756,1282,1393,1375,1461,910
person:3,1663,0,1195,870,193,1597,2413,1143,1399,381,1948,1077,754,1805
person:5,467,1195,0,2065,1349,413,1217,2337,2334,814,1378,1060,1065,974
person:119,2533,870,2065,0,728,2467,3283,275,1127,1251,2653,1739,1409,2603
handbag:137,1815,193,1349,728,0,1758,2566,993,1419,542,2141,1264,937,1995
handbag:363,132,1597,413,2467,1758,0,822,2740,2648,1218,1270,1250,1350,793
person:370,750,2413,1217,3283,2566,822,0,3555,3445,2031,1679,1992,2146,1217
person:377,2804,1143,2337,275,993,2740,3555,0,1212,1523,2913,1999,1673,2875
bird:443,2756,1399,2334,1127,1419,2648,3445,1212,0,1667,2267,1489,1299,2432
person:468,1282,381,814,1251,542,1218,2031,1523,1667,0,1704,924,671,1492
bird:470,1393,1948,1378,2653,2141,1270,1679,2913,2267,1704,0,914,1246,492
bird:392,1375,1077,1060,1739,1264,1250,1992,1999,1489,924,914,0,336,950
bird:489,1461,754,1065,1409,937,1350,2146,1673,1299,671,1246,336,0,1225
bird:459,910,1805,974,2603,1995,793,1217,2875,2432,1492,492,950,1225,0
