,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:490,kite:491,bird:492,bird:474,bird:459
person:2,0,1662,465,2536,1818,154,748,2809,2698,1267,1407,918,1196,1787,1217,931
person:3,1662,0,1197,874,199,1595,2410,1148,1366,394,2030,1099,2491,664,1156,1892
person:5,465,1197,0,2071,1354,415,1213,2344,2282,802,1422,623,1487,1366,940,1035
person:119,2536,874,2071,0,731,2468,3284,278,1130,1268,2742,1907,3312,1111,1873,2694
handbag:137,1818,199,1354,731,0,1760,2566,996,1398,560,2230,1296,2683,809,1355,2088
handbag:363,154,1595,415,2468,1760,0,825,2743,2577,1202,1264,779,1124,1671,1071,798
person:370,748,2410,1213,3284,2566,825,0,3557,3380,2015,1645,1560,1002,2486,1811,1172
person:377,2809,1148,2344,278,996,2743,3557,0,1235,1542,3006,2184,3588,1366,2142,2969
bird:443,2698,1366,2282,1130,1398,2577,3380,1235,0,1630,2290,1820,3065,916,1606,2451
person:468,1267,394,802,1268,560,1202,2015,1542,1630,0,1767,790,2140,773,936,1563
bird:470,1407,2030,1422,2742,2230,1264,1645,3006,2290,1767,0,984,870,1643,879,493
bird:490,918,1099,623,1907,1296,779,1560,2184,1820,790,984,0,1405,942,317,794
kite:491,1196,2491,1487,3312,2683,1124,1002,3588,3065,2140,870,1405,0,2293,1491,628
bird:492,1787,664,1366,1111,809,1671,2486,1366,916,773,1643,942,2293,0,805,1665
bird:474,1217,1156,940,1873,1355,1071,1811,2142,1606,936,879,317,1491,805,0,863
bird:459,931,1892,1035,2694,2088,798,1172,2969,2451,1563,493,794,628,1665,863,0
