,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,kite:491,bird:492,bird:474,bird:459
person:2,0,1662,467,2538,1817,167,745,2807,2649,1246,1459,1223,1697,1219,953
person:3,1662,0,1195,875,199,1595,2407,1146,1336,415,2109,2573,635,1243,1963
person:5,467,1195,0,2070,1351,421,1212,2339,2234,779,1491,1542,1275,973,1086
person:119,2538,875,2070,0,735,2469,3283,275,1129,1291,2815,3401,1155,1954,2766
handbag:137,1817,199,1351,735,0,1761,2561,995,1375,580,2308,2763,796,1441,2158
handbag:363,167,1595,421,2469,1761,0,828,2741,2521,1182,1304,1153,1576,1059,811
person:370,745,2407,1212,3283,2561,828,0,3552,3332,1991,1676,972,2398,1791,1155
person:377,2807,1146,2339,275,995,2741,3552,0,1252,1560,3079,3676,1418,2222,3040
bird:443,2649,1336,2234,1129,1375,2521,3332,1252,0,1606,2297,3117,959,1604,2465
person:468,1246,415,779,1291,580,1182,1991,1560,1606,0,1831,2196,711,1007,1613
bird:470,1459,2109,1491,2815,2308,1304,1676,3079,2297,1831,0,959,1661,871,535
kite:491,1223,2573,1542,3401,2763,1153,972,3676,3117,2196,959,0,2315,1526,656
bird:492,1697,635,1275,1155,796,1576,2398,1418,959,711,1661,2315,0,811,1662
bird:474,1219,1243,973,1954,1441,1059,1791,2222,1604,1007,871,1526,811,0,870
bird:459,953,1963,1086,2766,2158,811,1155,3040,2465,1613,535,656,1662,870,0
