,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:492,bird:474,kite:459,bird:496
person:2,0,1651,467,2526,1804,187,755,2799,2570,1213,1472,1606,1193,946,1246
person:3,1651,0,1184,875,200,1604,2406,1149,1280,438,2167,669,1345,2024,865
person:5,467,1184,0,2059,1339,445,1221,2333,2154,746,1523,1191,986,1114,876
person:119,2526,875,2059,0,738,2477,3281,279,1115,1313,2878,1242,2061,2833,1596
handbag:137,1804,200,1339,738,0,1770,2559,1001,1332,600,2368,846,1545,2218,1064
handbag:363,187,1604,445,2477,1770,0,824,2753,2446,1170,1292,1489,1017,782,1112
person:370,755,2406,1221,3281,2559,824,0,3554,3258,1967,1651,2308,1730,1087,1921
person:377,2799,1149,2333,279,1001,2753,3554,0,1255,1587,3146,1510,2333,3112,1872
bird:443,2570,1280,2154,1115,1332,2446,3258,1255,0,1560,2301,964,1625,2478,1336
person:468,1213,438,746,1313,600,1170,1967,1587,1560,0,1872,697,1087,1650,659
bird:470,1472,2167,1523,2878,2368,1292,1651,3146,2301,1872,0,1636,826,573,1307
bird:492,1606,669,1191,1242,846,1489,2308,1510,964,697,1636,0,825,1641,402
bird:474,1193,1345,986,2061,1545,1017,1730,2333,1625,1087,826,825,0,853,481
kite:459,946,2024,1114,2833,2218,782,1087,3112,2478,1650,573,1641,853,0,1248
bird:496,1246,865,876,1596,1064,1112,1921,1872,1336,659,1307,402,481,1248,0
