,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,bird:26,bird:72,person:73,bird:45
person:1,0,848,2860,2057,1300,2357,3189,3059,1840,881,3398,1203
person:2,848,0,2017,1222,454,1516,2346,2305,1197,647,2558,987
person:3,2860,2017,0,812,1563,505,328,947,1444,2239,547,2260
person:4,2057,1222,812,0,773,308,1138,1203,804,1436,1341,1499
person:5,1300,454,1563,773,0,1063,1892,1902,937,865,2105,1097
person:9,2357,1516,505,308,1063,0,833,1060,1032,1742,1041,1790
person:66,3189,2346,328,1138,1892,833,0,977,1723,2557,230,2561
bird:71,3059,2305,947,1203,1902,1060,977,0,1260,2255,965,2119
bird:26,1840,1197,1444,804,937,1032,1723,1260,0,1000,1869,873
bird:72,881,647,2239,1436,865,1742,2557,2255,1000,0,2741,371
person:73,3398,2558,547,1341,2105,1041,230,965,1869,2741,0,2724
bird:45,1203,987,2260,1499,1097,1790,2561,2119,873,371,2724,0
