,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:492,bird:474,bird:459,bird:496,bird:453
person:2,0,1649,468,2521,1836,195,756,2800,2502,1165,1494,1514,1043,957,1204,920
person:3,1649,0,1181,871,228,1592,2405,1152,1262,484,2216,746,1443,2071,994,1183
person:5,468,1181,0,2053,1370,441,1224,2332,2094,697,1563,1117,905,1150,876,672
person:119,2521,871,2053,0,698,2462,3277,284,1175,1355,2932,1368,2202,2883,1725,1980
handbag:137,1836,228,1370,698,0,1793,2593,968,1319,679,2444,952,1671,2296,1220,1411
handbag:363,195,1592,441,2462,1793,0,834,2744,2364,1114,1312,1377,850,798,1045,747
person:370,756,2405,1224,3277,2593,834,0,3557,3181,1921,1641,2201,1540,1052,1848,1534
person:377,2800,1152,2332,284,968,2744,3557,0,1325,1635,3202,1640,2481,3166,2003,2263
bird:443,2502,1262,2094,1175,1319,2364,3181,1325,0,1554,2258,988,1730,2444,1335,1652
person:468,1165,484,697,1355,679,1114,1921,1635,1554,0,1893,715,1113,1658,754,826
bird:470,1494,2216,1563,2932,2444,1312,1641,3202,2258,1893,0,1563,781,596,1226,1066
bird:492,1514,746,1117,1368,952,1377,2201,1640,988,715,1563,0,855,1568,387,695
bird:474,1043,1443,905,2202,1671,850,1540,2481,1730,1113,781,855,0,721,477,290
bird:459,957,2071,1150,2883,2296,798,1052,3166,2444,1658,596,1568,721,0,1182,903
bird:496,1204,994,876,1725,1220,1045,1848,2003,1335,754,1226,387,477,1182,0,317
bird:453,920,1183,672,1980,1411,747,1534,2263,1652,826,1066,695,290,903,317,0
