,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:492,bird:474,bird:496,bird:453
person:2,0,1633,465,2521,1818,177,755,2800,2472,1148,1449,1473,992,1166,880
person:3,1633,0,1168,888,226,1556,2388,1168,1264,485,2178,754,1465,1021,1224
person:5,465,1168,0,2056,1354,409,1220,2335,2068,683,1518,1081,876,850,660
person:119,2521,888,2056,0,718,2442,3277,283,1201,1373,2914,1404,2250,1774,2040
handbag:137,1818,226,1354,718,0,1752,2573,987,1327,677,2404,962,1691,1246,1449
handbag:363,177,1556,409,2442,1752,0,847,2724,2326,1074,1295,1329,814,1004,709
person:370,755,2388,1220,3277,2573,847,0,3556,3145,1903,1597,2156,1473,1800,1478
person:377,2800,1168,2335,283,987,2724,3556,0,1358,1653,3185,1677,2529,2052,2322
bird:443,2472,1264,2068,1201,1327,2326,3145,1358,0,1547,2213,998,1755,1347,1673
person:468,1148,485,683,1373,677,1074,1903,1653,1547,0,1848,703,1119,766,856
bird:470,1449,2178,1518,2914,2404,1295,1597,3185,2213,1848,0,1510,728,1160,993
bird:492,1473,754,1081,1404,962,1329,2156,1677,998,703,1510,0,869,395,712
bird:474,992,1465,876,2250,1691,814,1473,2529,1755,1119,728,869,0,478,266
bird:496,1166,1021,850,1774,1246,1004,1800,2052,1347,766,1160,395,478,0,326
bird:453,880,1224,660,2040,1449,709,1478,2322,1673,856,993,712,266,326,0
