,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:492,bird:474,bird:496
person:2,0,1620,463,2518,1821,167,756,2794,2437,1123,1453,975,1127
person:3,1620,0,1157,897,239,1530,2376,1175,1256,496,784,1516,1046
person:5,463,1157,0,2054,1359,391,1219,2331,2036,660,1068,891,824
person:119,2518,897,2054,0,711,2427,3274,282,1215,1394,1442,2312,1814
handbag:137,1821,239,1359,711,0,1741,2578,978,1319,705,1001,1755,1283
handbag:363,167,1530,391,2427,1741,0,856,2706,2289,1037,1304,812,966
person:370,756,2376,1219,3274,2578,856,0,3551,3108,1879,2130,1427,1756
person:377,2794,1175,2331,282,978,2706,3551,0,1377,1671,1713,2590,2091
bird:443,2437,1256,2036,1215,1319,2289,3108,1377,0,1535,984,1778,1355
person:468,1123,496,660,1394,705,1037,1879,1671,1535,0,718,1152,768
bird:492,1453,784,1068,1442,1001,1304,2130,1713,984,718,0,897,407
bird:474,975,1516,891,2312,1755,812,1427,2590,1778,1152,897,0,499
bird:496,1127,1046,824,1814,1283,966,1756,2091,1355,768,407,499,0
