,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:470,bird:496,bird:469
person:2,0,1593,467,2520,1814,187,746,2805,1040,1333,1005,1432,985,724
person:3,1593,0,1125,927,262,1479,2339,1214,553,933,1785,2224,1154,1566
person:5,467,1125,0,2053,1348,374,1214,2338,572,992,1058,1539,740,750
person:119,2520,927,2053,0,724,2405,3267,290,1480,1649,2616,3007,1979,2439
handbag:137,1814,262,1348,724,0,1712,2559,999,782,1182,2048,2486,1417,1826
handbag:363,187,1479,374,2405,1712,0,876,2693,929,1152,855,1305,797,559
person:370,746,2339,1214,3267,2559,876,0,3552,1786,1980,1305,1546,1588,1159
person:377,2805,1214,2338,290,999,2693,3552,0,1766,1928,2901,3286,2266,2728
person:468,1040,553,572,1480,782,929,1786,1766,0,779,1361,1833,793,1098
bird:492,1333,933,992,1649,1182,1152,1980,1928,779,0,992,1357,404,893
bird:474,1005,1785,1058,2616,2048,855,1305,2901,1361,992,0,484,638,310
bird:470,1432,2224,1539,3007,2486,1305,1546,3286,1833,1357,484,0,1071,789
bird:496,985,1154,740,1979,1417,797,1588,2266,793,404,638,1071,0,491
bird:469,724,1566,750,2439,1826,559,1159,2728,1098,893,310,789,491,0
