,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:496
person:2,0,1584,470,2522,1807,189,746,2809,1018,1270,972,965
person:3,1584,0,1113,937,265,1465,2330,1226,566,936,1834,1190
person:5,470,1113,0,2051,1338,373,1216,2339,547,935,1070,746
person:119,2522,937,2051,0,732,2401,3268,292,1504,1686,2685,2025
handbag:137,1807,265,1338,732,0,1700,2552,1010,798,1191,2099,1455
handbag:363,189,1465,373,2401,1700,0,881,2692,902,1085,835,775
person:370,746,2330,1216,3268,2552,881,0,3556,1764,1916,1229,1555
person:377,2809,1226,2339,292,1010,2692,3556,0,1792,1969,2973,2314
person:468,1018,566,547,1504,798,902,1764,1792,0,748,1385,814
bird:492,1270,936,935,1686,1191,1085,1916,1969,748,0,1020,385
bird:474,972,1834,1070,2685,2099,835,1229,2973,1385,1020,0,659
bird:496,965,1190,746,2025,1455,775,1555,2314,814,385,659,0
