,person:1,person:2,person:3,person:4,person:5,person:9,person:66,kite:71,bird:72,person:73,bird:45,bird:17
person:1,0,849,2851,2053,1305,2352,3183,3075,921,3399,1179,1772
person:2,849,0,2006,1218,458,1511,2339,2319,634,2558,1027,1071
person:3,2851,2006,0,805,1548,500,332,953,2179,556,2336,1339
person:4,2053,1218,805,0,765,306,1135,1218,1384,1346,1580,645
person:5,1305,458,1548,765,0,1053,1881,1912,831,2100,1165,768
person:9,2352,1511,500,306,1053,0,832,1073,1688,1047,1869,897
person:66,3183,2339,332,1135,1881,832,0,975,2500,233,2640,1637
kite:71,3075,2319,953,1218,1912,1073,975,0,2220,968,2212,1306
bird:72,921,634,2179,1384,831,1688,2500,2220,0,2693,393,923
person:73,3399,2558,556,1346,2100,1047,233,968,2693,0,2812,1809
bird:45,1179,1027,2336,1580,1165,1869,2640,2212,393,2812,0,1003
bird:17,1772,1071,1339,645,768,897,1637,1306,923,1809,1003,0
