,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:496,bird:470
person:2,0,1525,479,2510,1759,193,740,2817,946,1184,1052,829,1442
person:3,1525,0,1045,986,283,1413,2265,1294,579,1087,2115,1350,2323
person:5,479,1045,0,2031,1283,389,1219,2338,466,911,1288,736,1618
person:119,2510,986,2031,0,772,2398,3251,312,1565,1889,3031,2254,3178
handbag:137,1759,283,1283,772,0,1662,2498,1066,824,1364,2395,1633,2606
handbag:363,193,1413,389,2398,1662,0,869,2707,838,993,961,640,1330
person:370,740,2265,1219,3251,2498,869,0,3557,1686,1775,1051,1334,1444
person:377,2817,1294,2338,312,1066,2707,3557,0,1872,2193,3342,2564,3483
person:468,946,579,466,1565,824,838,1686,1872,0,837,1621,911,1887
bird:492,1184,1087,911,1889,1364,993,1775,2193,837,0,1187,458,1289
bird:474,1052,2115,1288,3031,2395,961,1051,3342,1621,1187,0,777,411
bird:496,829,1350,736,2254,1633,640,1334,2564,911,458,777,0,981
bird:470,1442,2323,1618,3178,2606,1330,1444,3483,1887,1289,411,981,0
