,person:2,person:3,person:5,person:119,handbag:137,person:370,person:377,person:468,bird:474,bird:496,bird:470,bird:522
person:2,0,1505,484,2510,1747,739,2814,921,1164,784,1433,2007
person:3,1505,0,1021,1004,295,2245,1311,583,2288,1464,2378,787
person:5,484,1021,0,2025,1265,1224,2330,437,1457,788,1654,1564
person:119,2510,1004,2025,0,785,3249,310,1588,3229,2396,3269,959
handbag:137,1747,295,1265,785,0,2485,1077,836,2578,1757,2673,885
person:370,739,2245,1224,3249,2485,0,3554,1661,1029,1219,1371,2707
person:377,2814,1311,2330,310,1077,3554,0,1894,3538,2705,3573,1223
person:468,921,583,437,1588,836,1661,1894,0,1784,1003,1926,1182
bird:474,1164,2288,1457,3229,2578,1029,3538,1784,0,832,342,2445
bird:496,784,1464,788,2396,1757,1219,2705,1003,832,0,925,1640
bird:470,1433,2378,1654,3269,2673,1371,3573,1926,342,925,0,2423
bird:522,2007,787,1564,959,885,2707,1223,1182,2445,1640,2423,0
