,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:496,bird:470,bird:522,bird:514,bird:492
person:2,0,1467,478,2505,1756,2812,887,866,1530,2005,2650,1023
person:3,1467,0,989,1038,340,1347,579,1654,2510,848,1335,1244
person:5,478,989,0,2027,1282,2334,409,961,1777,1571,2200,858
person:119,2505,1038,2027,0,773,311,1618,2613,3441,1031,873,2142
handbag:137,1756,340,1282,773,0,1067,880,1994,2850,956,1280,1582
person:377,2812,1347,2334,311,1067,0,1925,2922,3745,1288,982,2446
person:468,887,579,409,1618,880,1925,0,1198,2054,1228,1827,913
bird:496,866,1654,961,2613,1994,2922,1198,0,859,1804,2462,506
bird:470,1530,2510,1777,3441,2850,3745,2054,859,0,2556,3187,1298
bird:522,2005,848,1571,1031,956,1288,1228,1804,2556,0,665,1298
bird:514,2650,1335,2200,873,1280,982,1827,2462,3187,665,0,1956
bird:492,1023,1244,858,2142,1582,2446,913,506,1298,1298,1956,0
