,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:496,bird:522,bird:492,bird:514
person:2,0,1429,426,2495,1770,2780,832,896,1905,954,2616
person:3,1429,0,1002,1066,386,1354,597,1853,898,1406,1355
person:5,426,1002,0,2068,1346,2354,405,1082,1539,901,2220
person:119,2495,1066,2068,0,749,291,1663,2856,1210,2352,935
handbag:137,1770,386,1346,749,0,1021,949,2239,1059,1789,1288
person:377,2780,1354,2354,291,1021,0,1950,3146,1457,2639,1049
person:468,832,597,405,1663,949,1950,0,1352,1217,1012,1850
bird:496,896,1853,1082,2856,2239,3146,1352,0,1908,548,2671
bird:522,1905,898,1539,1210,1059,1457,1217,1908,0,1360,763
bird:492,954,1406,901,2352,1789,2639,1012,548,1360,0,2123
bird:514,2616,1355,2220,935,1288,1049,1850,2671,763,2123,0
