,person:2,person:3,person:5,person:119,backpack:137,person:377,person:468,bird:514,bird:490,bird:492
person:2,0,1406,418,2491,1769,2779,790,2586,1093,892
person:3,1406,0,987,1086,407,1376,615,1344,2102,1517
person:5,418,987,0,2072,1353,2361,372,2198,1324,918
person:119,2491,1086,2072,0,745,294,1701,930,3122,2507
backpack:137,1769,407,1353,745,0,1020,989,1264,2509,1923
person:377,2779,1376,2361,294,1020,0,1990,1054,3415,2799
person:468,790,615,372,1701,989,1990,0,1856,1584,1071
bird:514,2586,1344,2198,930,1264,1054,1856,0,2886,2271
bird:490,1093,2102,1324,3122,2509,3415,1584,2886,0,623
bird:492,892,1517,918,2507,1923,2799,1071,2271,623,0
