,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:514,bird:490,kite:492,bird:522
person:2,0,1404,419,2494,1772,2769,778,2580,1152,902,1837
person:3,1404,0,984,1091,415,1369,625,1348,2187,1572,917
person:5,419,984,0,2074,1355,2350,359,2193,1401,954,1489
person:119,2494,1091,2074,0,748,282,1716,956,3214,2570,1313
handbag:137,1772,415,1355,748,0,1010,1004,1285,2602,1988,1123
person:377,2769,1369,2350,282,1010,0,1992,1079,3495,2850,1557
person:468,778,625,359,1716,1004,1992,0,1865,1658,1113,1215
bird:514,2580,1348,2193,956,1285,1079,1865,0,2957,2313,820
bird:490,1152,2187,1401,3214,2602,3495,1658,2957,0,653,2137
kite:492,902,1572,954,2570,1988,2850,1113,2313,653,0,1493
bird:522,1837,917,1489,1313,1123,1557,1215,820,2137,1493,0
