,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:537,bird:524,bird:514
person:2,0,1363,399,2482,1728,2761,694,2560,2136,2471
person:3,1363,0,964,1119,400,1401,669,1304,954,1294
person:5,399,964,0,2082,1330,2362,295,2181,1765,2106
person:119,2482,1119,2082,0,771,286,1788,778,894,976
handbag:137,1728,400,1330,771,0,1040,1042,1159,929,1224
person:377,2761,1401,2362,286,1040,0,2069,901,1118,1129
person:468,694,669,295,1788,1042,2069,0,1897,1489,1833
bird:537,2560,1304,2181,778,1159,901,1897,0,441,240
bird:524,2136,954,1765,894,929,1118,1489,441,0,345
bird:514,2471,1294,2106,976,1224,1129,1833,240,345,0
