,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:524,bird:514,kite:492
person:2,0,1376,368,2476,1685,2748,654,2125,2390,1058
person:3,1376,0,1008,1101,341,1375,723,975,1231,2044
person:5,368,1008,0,2108,1320,2380,286,1786,2053,1251
person:119,2476,1101,2108,0,802,278,1824,970,1010,3079
handbag:137,1685,341,1320,802,0,1066,1041,975,1192,2386
person:377,2748,1375,2380,278,1066,0,2098,1184,1174,3356
person:468,654,723,286,1824,1041,2098,0,1519,1788,1430
bird:524,2125,975,1786,970,975,1184,1519,0,268,2413
bird:514,2390,1231,2053,1010,1192,1174,1788,268,0,2635
kite:492,1058,2044,1251,3079,2386,3356,1430,2413,2635,0
