,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:524,airplane:492,bird:540
person:2,0,1318,358,2478,1672,2747,641,2105,1108,1576
person:3,1318,0,959,1160,384,1432,678,998,2065,977
person:5,358,959,0,2119,1315,2388,283,1776,1308,1313
person:119,2478,1160,2119,0,818,276,1838,985,3155,1623
handbag:137,1672,384,1315,818,0,1079,1041,980,2449,1220
person:377,2747,1432,2388,276,1079,0,2109,1201,3430,1877
person:468,641,678,283,1838,1041,2109,0,1511,1488,1119
bird:524,2105,998,1776,985,980,1201,1511,0,2464,753
airplane:492,1108,2065,1308,3155,2449,3430,1488,2464,0,1730
bird:540,1576,977,1313,1623,1220,1877,1119,753,1730,0
