,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,kite:524,bird:492,bird:540
person:2,0,1282,359,2475,1660,2749,629,2134,1168,1532
person:3,1282,0,922,1195,409,1471,653,1043,2112,978
person:5,359,922,0,2116,1303,2390,271,1805,1381,1277
person:119,2475,1195,2116,0,828,280,1848,976,3236,1670
handbag:137,1660,409,1303,828,0,1094,1042,1002,2521,1243
person:377,2749,1471,2390,280,1094,0,2124,1190,3516,1929
person:468,629,653,271,1848,1042,2124,0,1551,1556,1097
kite:524,2134,1043,1805,976,1002,1190,1551,0,2573,837
bird:492,1168,2112,1381,3236,2521,3516,1556,2573,0,1750
bird:540,1532,978,1277,1670,1243,1929,1097,837,1750,0
