,person:2,person:3,person:5,person:119,person:377,person:468,bird:540,bird:545,bird:554,bird:555,bird:514
person:2,0,1205,362,2474,2743,585,1331,2002,2719,2515,2216
person:3,1205,0,846,1271,1542,621,960,988,1595,1439,1202
person:5,362,846,0,2117,2387,225,1067,1655,2362,2163,1871
person:119,2474,1271,2117,0,276,1892,1838,1048,877,968,1067
person:377,2743,1542,2387,276,0,2162,2103,1278,952,1105,1264
person:468,585,621,225,1892,2162,0,971,1460,2153,1962,1678
bird:540,1331,960,1067,1838,2103,971,0,924,1666,1413,1087
bird:545,2002,988,1655,1048,1278,1460,924,0,751,517,218
bird:554,2719,1595,2362,877,952,2153,1666,751,0,264,582
bird:555,2515,1439,2163,968,1105,1962,1413,517,264,0,326
bird:514,2216,1202,1871,1067,1264,1678,1087,218,582,326,0
