,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,bird:45,bird:76,bird:77
person:1,0,849,2831,2034,1314,2341,3178,3111,3401,1106,863,1682
person:2,849,0,1986,1197,467,1499,2333,2351,2559,1080,706,1001
person:3,2831,1986,0,805,1519,493,347,956,576,2480,2285,1416
person:4,2034,1197,805,0,735,313,1150,1261,1368,1720,1492,708
person:5,1314,467,1519,735,0,1032,1866,1933,2092,1278,949,729
person:9,2341,1499,493,313,1032,0,839,1096,1060,2016,1801,972
person:66,3178,2333,347,1150,1866,839,0,962,237,2801,2620,1731
bird:71,3111,2351,956,1261,1933,1096,962,0,958,2418,2365,1438
person:73,3401,2559,576,1368,2092,1060,237,958,0,2984,2820,1914
bird:45,1106,1080,2480,1720,1278,2016,2801,2418,2984,0,375,1070
bird:76,863,706,2285,1492,949,1801,2620,2365,2820,375,0,936
bird:77,1682,1001,1416,708,729,972,1731,1438,1914,1070,936,0
