,person:2,person:3,person:5,person:119,person:377,person:468,bird:545,bird:555,bird:563,bird:554
person:2,0,1172,355,2452,2744,542,1859,2405,1252,2792
person:3,1172,0,817,1282,1577,631,889,1367,1066,1692
person:5,355,817,0,2097,2390,189,1537,2077,1074,2453
person:119,2452,1282,2097,0,299,1913,1097,980,2013,905
person:377,2744,1577,2390,299,0,2207,1361,1151,2302,958
person:468,542,631,189,1913,2207,0,1357,1893,984,2265
bird:545,1859,889,1537,1097,1361,1357,0,549,995,968
bird:555,2405,1367,2077,980,1151,1893,549,0,1492,444
bird:563,1252,1066,1074,2013,2302,984,995,1492,0,1935
bird:554,2792,1692,2453,905,958,2265,968,444,1935,0
