,person:2,person:3,person:5,person:119,person:377,person:468,bird:545,bird:555,bird:563,person:566,bird:554
person:2,0,1149,355,2448,2744,527,1823,2410,1212,3058,2817
person:3,1149,0,793,1301,1600,623,877,1402,1079,1911,1734
person:5,355,793,0,2093,2389,173,1500,2082,1044,2703,2475
person:119,2448,1301,2093,0,302,1924,1118,1017,2062,610,907
person:377,2744,1600,2389,302,0,2222,1385,1186,2354,326,948
person:468,527,623,173,1924,2222,0,1337,1916,972,2534,2304
bird:545,1823,877,1500,1118,1385,1337,0,588,1021,1603,1033
bird:555,2410,1402,2082,1017,1186,1916,588,0,1544,1295,489
bird:563,1212,1079,1044,2062,2354,972,1021,1544,0,2603,2026
person:566,3058,1911,2703,610,326,2534,1603,1295,2603,0,942
bird:554,2817,1734,2475,907,948,2304,1033,489,2026,942,0
