,person:2,person:3,handbag:5,person:119,person:377,person:468,bird:555,bird:563,person:566,bird:554,bird:537,bird:514
person:2,0,1134,391,2444,2744,511,2413,1169,3060,2826,2575,2042
person:3,1134,0,753,1312,1615,624,1428,1092,1927,1756,1501,1128
handbag:5,391,753,0,2057,2355,160,2095,1079,2673,2479,2226,1741
person:119,2444,1312,2057,0,305,1937,1063,2110,616,918,765,1171
person:377,2744,1615,2355,305,0,2238,1230,2405,328,954,877,1407
person:468,511,624,160,1937,2238,0,1937,958,2552,2329,2076,1581
bird:555,2413,1428,2095,1063,1230,1937,0,1591,1336,520,383,391
bird:563,1169,1092,1079,2110,2405,958,1591,0,2659,2096,1884,1204
person:566,3060,1927,2673,616,328,2552,1336,2659,0,942,955,1583
bird:554,2826,1756,2479,918,954,2329,520,2096,942,0,255,892
bird:537,2575,1501,2226,765,877,2076,383,1884,955,255,0,696
bird:514,2042,1128,1741,1171,1407,1581,391,1204,1583,892,696,0
