,person:2,person:3,handbag:5,person:119,person:377,person:468,bird:555,bird:563,person:566,bird:554,bird:514
person:2,0,1122,400,2442,2746,495,2403,1129,3063,2828,2010
person:3,1122,0,755,1323,1629,628,1437,1106,1942,1773,1116
handbag:5,400,755,0,2060,2360,194,2122,1115,2681,2509,1750
person:119,2442,1323,2060,0,309,1951,1099,2159,621,947,1203
person:377,2746,1629,2360,309,0,2256,1271,2459,334,985,1445
person:468,495,628,194,1951,2256,0,1945,944,2570,2347,1566
bird:555,2403,1437,2122,1099,1271,1945,0,1630,1366,538,411
bird:563,1129,1106,1115,2159,2459,944,1630,0,2710,2149,1224
person:566,3063,1942,2681,621,334,2570,1366,2710,0,961,1616
bird:554,2828,1773,2509,947,985,2347,538,2149,961,0,925
bird:514,2010,1116,1750,1203,1445,1566,411,1224,1616,925,0
