,person:2,person:3,handbag:5,person:119,person:377,person:468,bird:555,bird:563,person:566,kite:554,bird:514,kite:537
person:2,0,1105,399,2432,2745,463,2349,1014,3069,2857,1926,2592
person:3,1105,0,774,1331,1647,643,1417,1112,1966,1819,1071,1545
handbag:5,399,774,0,2075,2382,240,2128,1096,2713,2582,1729,2311
person:119,2432,1331,2075,0,319,1973,1153,2233,638,979,1254,789
person:377,2745,1647,2382,319,0,2288,1342,2546,343,1011,1514,899
person:468,463,643,240,1973,2288,0,1923,877,2609,2406,1514,2139
bird:555,2349,1417,2128,1153,1342,1923,0,1682,1447,639,436,499
bird:563,1014,1112,1096,2233,2546,877,1682,0,2810,2295,1254,2072
person:566,3069,1966,2713,638,343,2609,1447,2810,0,972,1697,955
kite:554,2857,1819,2582,979,1011,2406,639,2295,972,0,1042,274
bird:514,1926,1071,1729,1254,1514,1514,436,1254,1697,1042,0,837
kite:537,2592,1545,2311,789,899,2139,499,2072,955,274,837,0
