,person:2,person:3,handbag:5,person:119,person:377,person:468,bird:555,kite:563,person:566,kite:554
person:2,0,1088,370,2424,2753,443,2309,977,3070,2873
person:3,1088,0,772,1339,1671,646,1397,1136,1983,1846
handbag:5,370,772,0,2087,2411,220,2095,1061,2732,2607
person:119,2424,1339,2087,0,334,1985,1164,2283,645,979
person:377,2753,1671,2411,334,0,2316,1368,2612,330,1001
person:468,443,646,220,1985,2316,0,1901,869,2629,2440
bird:555,2309,1397,2095,1164,1368,1901,0,1707,1489,703
kite:563,977,1136,1061,2283,2612,869,1707,0,2877,2383
person:566,3070,1983,2732,645,330,2629,1489,2877,0,972
kite:554,2873,1846,2607,979,1001,2440,703,2383,972,0
