,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:545,bird:514,bird:537,bird:554
person:2,0,1076,2427,2777,407,2291,3078,1589,1830,2618,2909
person:3,1076,0,1355,1707,670,1410,2004,801,1030,1598,1887
person:119,2427,1355,0,355,2025,1229,650,1339,1324,810,973
person:377,2777,1707,355,0,2376,1451,311,1665,1623,922,983
person:468,407,670,2025,2376,0,1916,2675,1221,1466,2216,2507
bird:555,2291,1410,1229,1451,1916,0,1579,702,469,609,811
person:566,3078,2004,650,311,2675,1579,0,1894,1821,993,960
bird:545,1589,801,1339,1665,1221,702,1894,0,246,1125,1400
bird:514,1830,1030,1324,1623,1466,469,1821,246,0,964,1221
bird:537,2618,1598,810,922,2216,609,993,1125,964,0,291
bird:554,2909,1887,973,983,2507,811,960,1400,1221,291,0
