,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:514,bird:537,bird:554
person:2,0,1097,2432,2789,396,2306,3088,1831,2631,2915
person:3,1097,0,1339,1698,704,1422,1993,1032,1593,1877
person:119,2432,1339,0,361,2042,1275,655,1355,831,999
person:377,2789,1698,361,0,2400,1496,310,1656,940,1010
person:468,396,704,2042,2400,0,1943,2697,1478,2241,2525
bird:555,2306,1422,1275,1496,1943,0,1621,482,635,821
person:566,3088,1993,655,310,2697,1621,0,1851,1007,988
bird:514,1831,1032,1355,1656,1478,482,1851,0,986,1232
bird:537,2631,1593,831,940,2241,635,1007,986,0,284
bird:554,2915,1877,999,1010,2525,821,988,1232,284,0
