,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:514,bird:537,bird:554,person:578,bird:579
person:2,0,1086,2438,2798,381,2306,3100,1823,2635,2944,801,1096
person:3,1086,0,1356,1718,708,1447,2016,1044,1608,1918,284,687
person:119,2438,1356,0,364,2064,1325,661,1386,840,1025,1639,1755
person:377,2798,1718,364,0,2425,1549,313,1690,951,1031,2000,2111
person:468,381,708,2064,2425,0,1958,2725,1483,2259,2568,424,791
bird:555,2306,1447,1325,1549,1958,0,1674,487,675,872,1647,1230
person:566,3100,2016,661,313,2725,1674,0,1886,1018,1002,2300,2370
bird:514,1823,1044,1386,1690,1483,487,1886,0,1009,1275,1203,742
bird:537,2635,1608,840,951,2259,675,1018,1009,0,309,1871,1669
bird:554,2944,1918,1025,1031,2568,872,1002,1275,309,0,2181,1963
person:578,801,284,1639,2000,424,1647,2300,1203,1871,2181,0,660
bird:579,1096,687,1755,2111,791,1230,2370,742,1669,1963,660,0
