,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:514,kite:537,kite:554,person:578,bird:579
person:2,0,1052,2438,2805,360,2296,3105,1799,2641,2947,790,1082
person:3,1052,0,1390,1759,696,1473,2055,1051,1642,1950,262,690
person:119,2438,1390,0,371,2085,1369,666,1420,838,1024,1650,1782
person:377,2805,1759,371,0,2454,1600,311,1732,949,1029,2019,2145
person:468,360,696,2085,2454,0,1967,2751,1477,2284,2590,435,793
bird:555,2296,1473,1369,1600,1967,0,1724,501,729,920,1654,1234
person:566,3105,2055,666,311,2751,1724,0,1929,1015,999,2316,2402
bird:514,1799,1051,1420,1732,1477,501,1929,0,1056,1318,1195,733
kite:537,2641,1642,838,949,2284,729,1015,1056,0,307,1885,1701
kite:554,2947,1950,1024,1029,2590,920,999,1318,307,0,2193,1992
person:578,790,262,1650,2019,435,1654,2316,1195,1885,2193,0,665
bird:579,1082,690,1782,2145,793,1234,2402,733,1701,1992,665,0
