,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:514,person:578,person:583
person:2,0,1024,2440,2810,342,2278,3109,1763,778,2632
person:3,1024,0,1420,1793,687,1489,2087,1051,246,1611
person:119,2440,1420,0,374,2107,1411,669,1461,1666,191
person:377,2810,1793,374,0,2478,1649,315,1779,2037,193
person:468,342,687,2107,2478,0,1966,2774,1458,441,2298
bird:555,2278,1489,1411,1649,1966,0,1764,518,1653,1489
person:566,3109,2087,669,315,2774,1764,0,1970,2333,477
bird:514,1763,1051,1461,1779,1458,518,1970,0,1179,1594
person:578,778,246,1666,2037,441,1653,2333,1179,0,1857
person:583,2632,1611,191,193,2298,1489,477,1594,1857,0
