,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:514,person:578,person:583,bird:537,bird:554
person:2,0,1015,2443,2818,323,2247,3112,1721,764,2630,2651,2964
person:3,1015,0,1432,1810,697,1477,2100,1032,250,1618,1685,1995
person:119,2443,1432,0,380,2129,1441,670,1498,1682,187,836,1006
person:377,2818,1810,380,0,2506,1690,315,1826,2059,206,949,1003
person:468,323,697,2129,2506,0,1950,2797,1430,447,2315,2328,2641
bird:555,2247,1477,1441,1690,1950,0,1797,530,1637,1514,833,1049
person:566,3112,2100,670,315,2797,1797,0,2010,2350,483,987,940
bird:514,1721,1032,1498,1826,1430,530,2010,0,1153,1626,1168,1448
person:578,764,250,1682,2059,447,1637,2350,1153,0,1868,1916,2228
person:583,2630,1618,187,206,2315,1514,483,1626,1868,0,822,935
bird:537,2651,1685,836,949,2328,833,987,1168,1916,822,0,312
bird:554,2964,1995,1006,1003,2641,1049,940,1448,2228,935,312,0
