,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:514,person:583,bird:537,bird:554,person:587
person:2,0,949,2454,2824,285,2215,3120,1650,2637,2668,2973,3205
person:3,949,0,1509,1881,672,1511,2174,1026,1691,1768,2071,2258
person:119,2454,1509,0,375,2181,1515,666,1571,182,882,1048,753
person:377,2824,1881,375,0,2553,1773,312,1904,200,1000,1061,406
person:468,285,672,2181,2553,0,1951,2846,1392,2364,2383,2688,2931
bird:555,2215,1511,1515,1773,1951,0,1897,567,1605,891,1104,1931
person:566,3120,2174,666,312,2846,1897,0,2104,483,1046,1015,94
bird:514,1650,1026,1571,1904,1392,567,2104,0,1710,1250,1525,2159
person:583,2637,1691,182,200,2364,1605,483,1710,0,885,1000,571
bird:537,2668,1768,882,1000,2383,891,1046,1250,885,0,305,1064
bird:554,2973,2071,1048,1061,2688,1104,1015,1525,1000,305,0,1006
person:587,3205,2258,753,406,2931,1931,94,2159,571,1064,1006,0
