,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,bird:537,bird:554,person:587
person:2,0,937,2457,2827,277,2230,3128,2639,2666,2971,3214
person:3,937,0,1524,1897,668,1549,2193,1707,1777,2082,2279
person:119,2457,1524,0,375,2193,1571,670,182,892,1060,759
person:377,2827,1897,375,0,2565,1829,317,199,1013,1078,412
person:468,277,668,2193,2565,0,1975,2862,2375,2388,2694,2948
bird:555,2230,1549,1571,1829,1975,0,1952,1663,925,1128,1986
person:566,3128,2193,670,317,2862,1952,0,488,1061,1034,95
person:583,2639,1707,182,199,2375,1663,488,0,901,1018,578
bird:537,2666,1777,892,1013,2388,925,1061,901,0,305,1081
bird:554,2971,2082,1060,1078,2694,1128,1034,1018,305,0,1026
person:587,3214,2279,759,412,2948,1986,95,578,1081,1026,0
