,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,bird:537,kite:554,person:587
person:2,0,942,2464,2839,270,2245,3140,2644,2664,2986,3227
person:3,942,0,1526,1904,680,1579,2201,1706,1770,2092,2286
person:119,2464,1526,0,380,2206,1640,676,180,891,1073,765
person:377,2839,1904,380,0,2583,1900,317,206,1016,1088,415
person:468,270,680,2206,2583,0,2001,2882,2386,2394,2717,2967
bird:555,2245,1579,1640,1900,2001,0,2024,1731,982,1184,2051
person:566,3140,2201,676,317,2882,2024,0,496,1069,1045,100
person:583,2644,1706,180,206,2386,1731,496,0,900,1030,586
bird:537,2664,1770,891,1016,2394,982,1069,900,0,322,1082
kite:554,2986,2092,1073,1088,2717,1184,1045,1030,322,0,1028
person:587,3227,2286,765,415,2967,2051,100,586,1082,1028,0
