,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,bird:537,person:587,person:596
person:2,0,945,2467,2839,238,2253,3146,2649,2664,3236,1421
person:3,945,0,1529,1905,721,1595,2207,1711,1759,2294,490
person:119,2467,1529,0,378,2249,1707,679,182,869,771,1045
person:377,2839,1905,378,0,2624,1966,320,201,992,421,1418
person:468,238,721,2249,2624,0,2029,2928,2431,2426,3015,1206
bird:555,2253,1595,1707,1966,2029,0,2099,1801,1063,2125,1534
person:566,3146,2207,679,320,2928,2099,0,497,1057,104,1725
person:583,2649,1711,182,201,2431,1801,497,0,880,590,1227
bird:537,2664,1759,869,992,2426,1063,1057,880,0,1071,1401
person:587,3236,2294,771,421,3015,2125,104,590,1071,0,1815
person:596,1421,490,1045,1418,1206,1534,1725,1227,1401,1815,0
