,handbag:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,bird:537,person:587,person:596,bird:599,bird:554
handbag:2,0,897,2429,2812,179,2210,3112,2613,2635,3213,1385,1628,2958
person:3,897,0,1542,1928,740,1597,2223,1725,1770,2322,504,1097,2093
person:119,2429,1542,0,388,2281,1764,683,183,871,786,1044,1755,1056
person:377,2812,1928,388,0,2666,2034,315,209,995,424,1427,2096,1067
person:468,179,740,2281,2666,0,2035,2963,2464,2461,3062,1238,1455,2783
bird:555,2210,1597,1764,2034,2035,0,2161,1864,1132,2204,1554,584,1326
person:566,3112,2223,683,315,2963,2161,0,500,1052,109,1727,2296,1025
person:583,2613,1725,183,209,2464,1864,500,0,883,604,1227,1898,1014
bird:537,2635,1770,871,995,2461,1132,1052,883,0,1082,1401,1395,322
person:587,3213,2322,786,424,3062,2204,109,604,1082,0,1828,2363,1022
person:596,1385,504,1044,1427,1238,1554,1727,1227,1401,1828,0,1200,1715
bird:599,1628,1097,1755,2096,1455,584,2296,1898,1395,2363,1200,0,1668
bird:554,2958,2093,1056,1067,2783,1326,1025,1014,322,1022,1715,1668,0
