,handbag:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,bird:537,person:587,person:596,bird:599,person:602,bird:554,person:578
handbag:2,0,869,2387,2776,148,2160,3073,2575,2607,3179,1344,1593,600,2934,573
person:3,869,0,1531,1924,775,1573,2214,1718,1765,2318,495,1096,1400,2091,303
person:119,2387,1531,0,395,2305,1804,686,187,895,793,1043,1803,2931,1075,1834
person:377,2776,1924,395,0,2697,2085,312,213,1022,424,1434,2153,3325,1087,2227
person:468,148,775,2305,2697,0,2014,2989,2493,2487,3094,1263,1446,636,2814,472
bird:555,2160,1573,1804,2085,2014,0,2214,1908,1172,2264,1557,573,2393,1381,1709
person:566,3073,2214,686,312,2989,2214,0,498,1073,112,1729,2350,3613,1042,2518
person:583,2575,1718,187,213,2493,1908,498,0,905,606,1231,1949,3118,1030,2021
bird:537,2607,1765,895,1022,2487,1172,1073,905,0,1108,1412,1439,3042,326,2039
person:587,3179,2318,793,424,3094,2264,112,606,1108,0,1834,2422,3716,1043,2621
person:596,1344,495,1043,1434,1263,1557,1729,1231,1412,1834,0,1226,1893,1727,795
bird:599,1593,1096,1803,2153,1446,573,2350,1949,1439,2422,1226,0,1825,1721,1176
person:602,600,1400,2931,3325,636,2393,3613,3118,3042,3716,1893,1825,0,3365,1098
bird:554,2934,2091,1075,1087,2814,1381,1042,1030,326,1043,1727,1721,3365,0,2366
person:578,573,303,1834,2227,472,1709,2518,2021,2039,2621,795,1176,1098,2366,0
