,handbag:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,kite:537,person:587,person:596,bird:599,person:602,kite:554,person:578,bird:608,bird:615
handbag:2,0,987,2444,2867,203,2123,3164,2655,2682,3277,1436,1581,448,3023,606,1090,1149
person:3,987,0,1480,1907,859,1491,2196,1690,1725,2306,480,1101,1338,2064,397,1465,696
person:119,2444,1480,0,428,2336,1897,720,211,962,833,1009,1957,2818,1139,1877,2829,1853
person:377,2867,1907,428,0,2763,2210,310,221,1094,425,1434,2336,3245,1146,2305,3248,2266
person:468,203,859,2336,2763,0,1921,3054,2547,2517,3164,1328,1378,485,2859,462,951,949
bird:555,2123,1491,1897,2210,1921,0,2358,2025,1263,2424,1556,561,2210,1508,1629,1661,975
person:566,3164,2196,720,310,3054,2358,0,509,1153,115,1728,2542,3534,1110,2593,3501,2512
person:583,2655,1690,211,221,2547,2025,509,0,978,622,1220,2126,3029,1093,2088,3028,2046
kite:537,2682,1725,962,1094,2517,1263,1153,978,0,1198,1414,1583,2948,341,2076,2678,1718
person:587,3277,2306,833,425,3164,2424,115,622,1198,0,1840,2626,3644,1123,2703,3599,2609
person:596,1436,480,1009,1434,1328,1556,1728,1220,1414,1840,0,1324,1812,1736,873,1917,1029
bird:599,1581,1101,1957,2336,1378,561,2542,2126,1583,2626,1324,0,1649,1885,1139,1138,458
person:602,448,1338,2818,3245,485,2210,3534,3029,2948,3644,1812,1649,0,3288,941,833,1284
kite:554,3023,2064,1139,1146,2859,1508,1110,1093,341,1123,1736,1885,3288,0,2417,2998,2050
person:578,606,397,1877,2305,462,1629,2593,2088,2076,2703,873,1139,941,2417,0,1161,681
bird:608,1090,1465,2829,3248,951,1661,3501,3028,2678,3599,1917,1138,833,2998,1161,0,992
bird:615,1149,696,1853,2266,949,975,2512,2046,1718,2609,1029,458,1284,2050,681,992,0
