,handbag:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:608,bird:615
handbag:2,0,986,2456,2887,201,2090,3184,2672,3294,1456,411,3031,554,1088,1130
person:3,986,0,1492,1927,850,1480,2216,1707,2323,501,1298,2073,432,1492,702
person:119,2456,1492,0,435,2339,1934,727,216,838,1000,2790,1138,1918,2875,1885
person:377,2887,1927,435,0,2774,2257,308,223,423,1433,3225,1144,2352,3302,2305
person:468,201,850,2339,2774,0,1889,3065,2555,3173,1340,454,2862,422,967,930
bird:555,2090,1480,1934,2257,1889,0,2414,2067,2477,1565,2144,1565,1683,1655,961
person:566,3184,2216,727,308,3065,2414,0,511,115,1728,3514,1117,2644,3557,2554
person:583,2672,1707,216,223,2555,2067,511,0,623,1216,3005,1090,2133,3078,2082
person:587,3294,2323,838,423,3173,2477,115,623,0,1837,3622,1124,2752,3653,2648
person:596,1456,501,1000,1433,1340,1565,1728,1216,1837,0,1792,1730,918,1966,1060
person:602,411,1298,2790,3225,454,2144,3514,3005,3622,1792,0,3261,875,818,1230
bird:554,3031,2073,1138,1144,2862,1565,1117,1090,1124,1730,3261,0,2483,3048,2083
person:578,554,432,1918,2352,422,1683,2644,2133,2752,918,875,2483,0,1213,748
bird:608,1088,1492,2875,3302,967,1655,3557,3078,3653,1966,818,3048,1213,0,1006
bird:615,1130,702,1885,2305,930,961,2554,2082,2648,1060,1230,2083,748,1006,0
