,person:1,person:2,person:3,person:4,person:5,person:9,person:66,kite:71,person:73,bird:45,bird:76
person:1,0,851,2788,2015,1322,2331,3143,3138,3403,1021,926
person:2,851,0,1941,1176,472,1486,2296,2372,2559,1083,661
person:3,2788,1941,0,780,1468,459,354,963,623,2535,2143
person:4,2015,1176,780,0,708,320,1132,1297,1388,1792,1378
person:5,1322,472,1468,708,0,1014,1823,1947,2087,1327,870
person:9,2331,1486,459,320,1014,0,813,1119,1073,2098,1693
person:66,3143,2296,354,1132,1823,813,0,948,280,2866,2485
kite:71,3138,2372,963,1297,1947,1119,948,0,921,2564,2298
person:73,3403,2559,623,1388,2087,1073,280,921,0,3081,2716
bird:45,1021,1083,2535,1792,1327,2098,2866,2564,3081,0,457
bird:76,926,661,2143,1378,870,1693,2485,2298,2716,457,0
