,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:537
person:3,0,1536,1986,868,1445,2271,1755,2380,563,1157,2121,480,1767
person:119,1536,0,450,2400,2125,739,220,851,981,2693,1215,2014,1034
person:377,1986,450,0,2849,2489,307,235,422,1429,3142,1244,2463,1190
person:468,868,2400,2849,0,1756,3138,2620,3247,1420,296,2917,387,2561
bird:555,1445,2125,2489,1756,0,2661,2278,2734,1631,1881,1792,1568,1517
person:566,2271,739,307,3138,2661,0,519,115,1720,3429,1219,2751,1254
person:583,1755,220,235,2620,2278,519,0,631,1202,2912,1174,2234,1058
person:587,2380,851,422,3247,2734,115,631,0,1831,3538,1232,2860,1299
person:596,563,981,1429,1420,1631,1720,1202,1831,0,1714,1747,1035,1416
person:602,1157,2693,3142,296,1881,3429,2912,3538,1714,0,3166,678,2811
bird:554,2121,1215,1244,2917,1792,1219,1174,1232,1747,3166,0,2557,356
person:578,480,2014,2463,387,1568,2751,2234,2860,1035,678,2557,0,2200
bird:537,1767,1034,1190,2561,1517,1254,1058,1299,1416,2811,356,2200,0
