,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:537,bird:625,bird:615
person:3,0,1545,1997,886,1437,2281,1769,2390,574,1125,2133,483,1764,1288,816
person:119,1545,0,452,2428,2176,740,225,852,980,2670,1238,2026,1051,2321,2132
person:377,1997,452,0,2879,2549,310,232,423,1429,3121,1274,2477,1217,2729,2573
person:468,886,2428,2879,0,1723,3166,2653,3276,1449,245,2942,403,2571,1385,855
bird:555,1437,2176,2549,1723,0,2719,2336,2796,1652,1816,1851,1539,1562,408,868
person:566,2281,740,310,3166,2719,0,515,113,1720,3407,1240,2763,1274,2932,2817
person:583,1769,225,232,2653,2336,515,0,627,1205,2894,1199,2250,1079,2504,2340
person:587,2390,852,423,3276,2796,113,627,0,1831,3516,1258,2873,1323,3018,2916
person:596,574,980,1429,1449,1652,1720,1205,1831,0,1692,1757,1048,1412,1636,1285
person:602,1125,2670,3121,245,1816,3407,2894,3516,1692,0,3145,644,2775,1448,963
bird:554,2133,1238,1274,2942,1851,1240,1199,1258,1757,3145,0,2568,371,2182,2300
person:578,483,2026,2477,403,1539,2763,2250,2873,1048,644,2568,0,2197,1269,714
bird:537,1764,1051,1217,2571,1562,1274,1079,1323,1412,2775,371,2197,0,1863,1943
bird:625,1288,2321,2729,1385,408,2932,2504,3018,1636,1448,2182,1269,1863,0,556
bird:615,816,2132,2573,855,868,2817,2340,2916,1285,963,2300,714,1943,556,0
