,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:537,bird:625,bird:615,bird:627
person:3,0,1608,2055,883,1429,2349,1833,2454,635,1034,2175,507,1772,1329,891,1485
person:119,1608,0,448,2489,2304,744,226,852,980,2641,1249,2098,1057,2432,2255,2903
person:377,2055,448,0,2935,2688,313,227,427,1424,3089,1296,2542,1242,2840,2692,3337
person:468,883,2489,2935,0,1643,3231,2715,3337,1510,213,2979,399,2574,1381,876,1080
bird:555,1429,2304,2688,1643,0,2887,2475,2956,1714,1582,2008,1586,1685,326,767,1023
person:566,2349,744,313,3231,2887,0,517,115,1724,3381,1286,2842,1330,3062,2949,3589
person:583,1833,226,227,2715,2475,517,0,627,1206,2866,1218,2324,1099,2619,2465,3110
person:587,2454,852,427,3337,2956,115,627,0,1831,3484,1289,2949,1368,3138,3039,3677
person:596,635,980,1424,1510,1714,1724,1206,1831,0,1669,1752,1118,1379,1725,1408,2046
person:602,1034,2641,3089,213,1582,3381,2866,3484,1669,0,3057,586,2654,1296,825,907
bird:554,2175,1249,1296,2979,2008,1286,1218,1289,1752,3057,0,2663,405,2275,2377,2932
person:578,507,2098,2542,399,1586,2842,2324,2949,1118,586,2663,0,2258,1385,866,1285
bird:537,1772,1057,1242,2574,1685,1330,1099,1368,1379,2654,405,2258,0,1928,1990,2564
bird:625,1329,2432,2840,1381,326,3062,2619,3138,1725,1296,2275,1385,1928,0,522,700
bird:615,891,2255,2692,876,767,2949,2465,3039,1408,825,2377,866,1990,522,0,648
bird:627,1485,2903,3337,1080,1023,3589,3110,3677,2046,907,2932,1285,2564,700,648,0
