,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:537,bird:625
person:3,0,1641,2088,882,1445,2390,1860,2490,669,987,2196,556,1774,1349
person:119,1641,0,448,2521,2381,750,220,855,978,2620,1242,2169,1051,2492
person:377,2088,448,0,2968,2772,318,233,430,1423,3069,1293,2612,1248,2904
person:468,882,2521,2968,0,1610,3271,2741,3372,1545,246,2996,383,2571,1366
bird:555,1445,2381,2772,1610,0,2983,2552,3045,1765,1446,2099,1640,1756,302
person:566,2390,750,318,3271,2983,0,530,114,1729,3365,1292,2920,1350,3136
person:583,1860,220,233,2741,2552,530,0,635,1199,2839,1214,2389,1098,2677
person:587,2490,855,430,3372,3045,114,635,0,1832,3461,1288,3023,1381,3206
person:596,669,978,1423,1545,1765,1729,1199,1832,0,1657,1744,1190,1354,1775
person:602,987,2620,3069,246,1446,3365,2839,3461,1657,0,2994,580,2571,1181
bird:554,2196,1242,1293,2996,2099,1292,1214,1288,1744,2994,0,2742,426,2337
person:578,556,2169,2612,383,1640,2920,2389,3023,1190,580,2742,0,2317,1448
bird:537,1774,1051,1248,2571,1756,1350,1098,1381,1354,2571,426,2317,0,1972
bird:625,1349,2492,2904,1366,302,3136,2677,3206,1775,1181,2337,1448,1972,0
