,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,bird:554,bird:537,bird:625,bird:615
person:3,0,1770,2208,787,1455,2513,2004,2614,792,2278,1868,1455,1010
person:119,1770,0,438,2556,2601,744,234,850,984,1305,1137,2725,2516
person:377,2208,438,0,2993,2995,321,205,433,1419,1375,1336,3128,2943
person:468,787,2556,2993,0,1491,3300,2791,3402,1574,2982,2569,1388,875
bird:555,1455,2601,2995,1491,0,3222,2803,3292,1907,2299,1954,198,618
person:566,2513,744,321,3300,3222,0,512,113,1729,1387,1442,3365,3210
person:583,2004,234,205,2791,2803,512,0,619,1218,1310,1214,2933,2740
person:587,2614,850,433,3402,3292,113,619,0,1834,1390,1477,3439,3296
person:596,792,984,1419,1574,1907,1729,1218,1834,0,1752,1383,1980,1656
bird:554,2278,1305,1375,2982,2299,1387,1310,1390,1752,0,413,2482,2534
bird:537,1868,1137,1336,2569,1954,1442,1214,1477,1383,413,0,2129,2142
bird:625,1455,2725,3128,1388,198,3365,2933,3439,1980,2482,2129,0,518
bird:615,1010,2516,2943,875,618,3210,2740,3296,1656,2534,2142,518,0
