,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,kite:627
person:3,0,2255,2709,449,3042,2540,3135,1335,2467,2042,416,1051
person:119,2255,0,454,2700,789,284,886,927,1506,1380,1839,2824
person:377,2709,454,0,3153,349,174,454,1377,1684,1662,2293,3264
person:468,449,2700,3153,0,3488,2985,3582,1776,2873,2449,864,1047
person:566,3042,789,349,3488,0,505,107,1716,1768,1826,2626,3553
person:583,2540,284,174,2985,505,0,604,1211,1575,1522,2123,3089
person:587,3135,886,454,3582,107,604,0,1812,1780,1862,2718,3627
person:596,1335,927,1377,1776,1716,1211,1812,0,1690,1347,920,2025
bird:554,2467,1506,1684,2873,1768,1575,1780,1690,0,424,2144,2422
bird:537,2042,1380,1662,2449,1826,1522,1862,1347,424,0,1724,2042
person:641,416,1839,2293,864,2626,2123,2718,920,2144,1724,0,1263
kite:627,1051,2824,3264,1047,3553,3089,3627,2025,2422,2042,1263,0
