,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643
person:3,0,2303,2748,3094,2599,3191,1390,2436,2040,483,2055
person:119,2303,0,446,793,295,894,919,1536,1419,1824,770
person:377,2748,446,0,360,153,469,1361,1732,1707,2268,1079
person:566,3094,793,360,0,498,111,1712,1838,1886,2617,1305
person:583,2599,295,153,498,0,602,1214,1631,1581,2120,945
person:587,3191,894,469,111,602,0,1813,1857,1927,2715,1365
person:596,1390,919,1361,1712,1214,1813,0,1666,1349,908,944
bird:554,2436,1536,1732,1838,1631,1857,1666,0,396,2121,810
bird:537,2040,1419,1707,1886,1581,1927,1349,396,0,1729,648
person:641,483,1824,2268,2617,2120,2715,908,2121,1729,0,1636
bird:643,2055,770,1079,1305,945,1365,944,810,648,1636,0
