,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,kite:643
person:3,0,2355,2809,3154,2654,3251,1451,2385,2047,543,2039
person:119,2355,0,454,800,301,901,910,1606,1530,1818,800
person:377,2809,454,0,359,155,467,1360,1834,1832,2270,1134
person:566,3154,800,359,0,510,110,1710,1960,2015,2618,1370
person:583,2654,301,155,510,0,617,1205,1762,1735,2115,1021
person:587,3251,901,467,110,617,0,1811,1986,2058,2717,1434
person:596,1451,910,1360,1710,1205,1811,0,1651,1403,910,894
bird:554,2385,1606,1834,1960,1762,1986,1651,0,338,2054,851
bird:537,2047,1530,1832,2015,1735,2058,1403,338,0,1727,731
person:641,543,1818,2270,2618,2115,2717,910,2054,1727,0,1573
kite:643,2039,800,1134,1370,1021,1434,894,851,731,1573,0
