,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643,backpack:648
person:3,0,2402,2864,3207,2710,3306,1509,2346,2022,645,2046,432
person:119,2402,0,463,807,314,910,899,1666,1558,1762,840,1974
person:377,2864,463,0,360,156,468,1358,1921,1879,2222,1188,2436
person:566,3207,807,360,0,515,109,1706,2054,2065,2568,1422,2781
person:583,2710,314,156,515,0,623,1203,1861,1794,2068,1089,2281
person:587,3306,910,468,109,623,0,1808,2089,2115,2669,1490,2881
person:596,1509,899,1358,1706,1203,1808,0,1643,1384,865,879,1078
bird:554,2346,1666,1921,2054,1861,2089,1643,0,326,1965,863,2084
bird:537,2022,1558,1879,2065,1794,2115,1384,326,0,1642,718,1759
person:641,645,1762,2222,2568,2068,2669,865,1965,1642,0,1492,213
bird:643,2046,840,1188,1422,1089,1490,879,863,718,1492,0,1674
backpack:648,432,1974,2436,2781,2281,2881,1078,2084,1759,213,1674,0
