,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643,person:648
person:3,0,2420,2884,3231,2729,3333,1532,2319,2000,713,2050,486
person:119,2420,0,465,812,314,919,894,1695,1572,1711,872,1953
person:377,2884,465,0,363,158,476,1355,1964,1902,2174,1224,2415
person:566,3231,812,363,0,521,113,1707,2105,2095,2523,1458,2766
person:583,2729,314,158,521,0,632,1198,1899,1814,2018,1124,2258
person:587,3333,919,476,113,632,0,1813,2143,2149,2627,1528,2871
person:596,1532,894,1355,1707,1198,1813,0,1641,1375,819,888,1059
bird:554,2319,1695,1964,2105,1899,2143,1641,0,323,1904,853,2090
bird:537,2000,1572,1902,2095,1814,2149,1375,323,0,1583,699,1766
person:641,713,1711,2174,2523,2018,2627,819,1904,1583,0,1439,246
bird:643,2050,872,1224,1458,1124,1528,888,853,699,1439,0,1675
person:648,486,1953,2415,2766,2258,2871,1059,2090,1766,246,1675,0
