,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643,person:648,bird:579
person:3,0,2468,2939,3291,2789,3390,1592,2277,1968,848,2053,605,716
person:119,2468,0,471,826,324,929,881,1741,1611,1622,937,1887,2367
person:377,2939,471,0,372,150,482,1348,2033,1959,2091,1299,2354,2831
person:566,3291,826,372,0,520,111,1707,2186,2162,2447,1535,2713,3146
person:583,2789,324,150,520,0,628,1198,1954,1861,1941,1193,2203,2689
person:587,3390,929,482,111,628,0,1810,2224,2215,2548,1602,2815,3232
person:596,1592,881,1348,1707,1198,1810,0,1627,1363,743,890,1005,1584
bird:554,2277,1741,2033,2186,1954,2224,1627,0,319,1802,829,2012,1701
bird:537,1968,1611,1959,2162,1861,2215,1363,319,0,1485,673,1693,1421
person:641,848,1622,2091,2447,1941,2548,743,1802,1485,0,1335,275,982
bird:643,2053,937,1299,1535,1193,1602,890,829,673,1335,0,1601,1708
person:648,605,1887,2354,2713,2203,2815,1005,2012,1693,275,1601,0,919
bird:579,716,2367,2831,3146,2689,3232,1584,1701,1421,982,1708,919,0
