,person:1,person:2,person:3,person:4,person:5,person:9,person:66,kite:71,person:73,bird:45
person:1,0,854,2726,1999,1325,2323,3140,3152,3405,966
person:2,854,0,1876,1156,473,1476,2290,2383,2558,1136
person:3,2726,1876,0,733,1403,404,414,982,685,2597
person:4,1999,1156,733,0,687,328,1145,1327,1406,1895
person:5,1325,473,1403,687,0,1003,1817,1959,2085,1418
person:9,2323,1476,404,328,1003,0,817,1132,1082,2209
person:66,3140,2290,414,1145,1817,817,0,947,282,2987
kite:71,3152,2383,982,1327,1959,1132,947,0,924,2711
person:73,3405,2558,685,1406,2085,1082,282,924,0,3211
bird:45,966,1136,2597,1895,1418,2209,2987,2711,3211,0
