,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643,person:648,bird:651,person:652,bird:579
person:3,0,2479,2948,3307,2798,3403,1610,2240,1936,897,2026,623,1312,194,712
person:119,2479,0,470,831,323,931,875,1767,1628,1584,955,1880,1806,2352,2402
person:377,2948,470,0,379,150,485,1340,2068,1982,2052,1323,2345,2238,2818,2864
person:566,3307,831,379,0,526,107,1706,2232,2195,2415,1570,2711,2523,3183,3187
person:583,2798,323,150,526,0,631,1190,1985,1881,1902,1214,2194,2110,2668,2723
person:587,3403,931,485,107,631,0,1805,2271,2248,2512,1636,2810,2596,3281,3270
person:596,1610,875,1340,1706,1190,1805,0,1626,1358,713,872,1005,1214,1478,1624
bird:554,2240,1767,2068,2232,1985,2271,1626,0,319,1757,841,1977,928,2253,1678
bird:537,1936,1628,1982,2195,1881,2248,1358,319,0,1439,672,1658,632,1941,1408
person:641,897,1584,2052,2415,1902,2512,713,1757,1439,0,1272,305,981,769,1033
bird:643,2026,955,1323,1570,1214,1636,872,841,672,1272,0,1561,971,1966,1707
person:648,623,1880,2345,2711,2194,2810,1005,1977,1658,305,1561,0,1124,474,942
bird:651,1312,1806,2238,2523,2110,2596,1214,928,632,981,971,1124,0,1335,787
person:652,194,2352,2818,3183,2668,3281,1478,2253,1941,769,1966,474,1335,0,835
bird:579,712,2402,2864,3187,2723,3270,1624,1678,1408,1033,1707,942,787,835,0
