,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,bird:643,person:648,bird:651,person:652,kite:579
person:3,0,2513,2979,3344,2830,3438,1646,1920,957,2020,640,1340,219,736
person:119,2513,0,467,834,319,932,872,1635,1558,966,1894,1828,2364,2481
person:377,2979,467,0,382,149,487,1335,1992,2023,1339,2357,2256,2827,2939
person:566,3344,834,382,0,529,106,1706,2219,2391,1599,2728,2547,3198,3267
person:583,2830,319,149,529,0,631,1185,1887,1874,1226,2207,2127,2678,2797
person:587,3438,932,487,106,631,0,1804,2272,2486,1665,2825,2617,3294,3348
person:596,1646,872,1335,1706,1185,1804,0,1342,689,847,1022,1240,1492,1705
bird:537,1920,1635,1992,2219,1887,2272,1342,0,1388,669,1622,592,1917,1419
person:641,957,1558,2023,2391,1874,2486,689,1388,0,1210,345,992,809,1120
bird:643,2020,966,1339,1599,1226,1665,847,669,1210,0,1533,958,1944,1743
person:648,640,1894,2357,2728,2207,2825,1022,1622,345,1533,0,1136,470,991
bird:651,1340,1828,2256,2547,2127,2617,1240,592,992,958,1136,0,1359,839
person:652,219,2364,2827,3198,2678,3294,1492,1917,809,1944,470,1359,0,878
kite:579,736,2481,2939,3267,2797,3348,1705,1419,1120,1743,991,839,878,0
