,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,bird:643,person:648,bird:651,person:652
person:3,0,2563,3001,3393,2861,3492,1695,1866,1067,2001,733,1365,232
person:119,2563,0,439,831,298,934,873,1668,1496,994,1845,1887,2389
person:377,3001,439,0,406,146,515,1307,2019,1933,1358,2279,2289,2823
person:566,3393,831,406,0,534,110,1705,2281,2327,1652,2677,2605,3220
person:583,2861,298,146,534,0,638,1171,1882,1795,1218,2143,2144,2686
person:587,3492,934,515,110,638,0,1807,2342,2427,1725,2778,2680,3322
person:596,1695,873,1307,1705,1171,1807,0,1318,627,807,972,1290,1516
bird:537,1866,1668,2019,2281,1882,2342,1318,0,1294,674,1509,522,1840
person:641,1067,1496,1933,2327,1795,2427,627,1294,0,1095,357,1018,895
bird:643,2001,994,1358,1652,1218,1725,807,674,1095,0,1421,957,1897
person:648,733,1845,2279,2677,2143,2778,972,1509,357,1421,0,1128,543
bird:651,1365,1887,2289,2605,2144,2680,1290,522,1018,957,1128,0,1366
person:652,232,2389,2823,3220,2686,3322,1516,1840,895,1897,543,1366,0
