,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,kite:643,person:648,bird:651,person:652,bird:656
person:3,0,2587,3020,3421,2878,3517,1713,1908,1120,2029,751,1453,184,2227
person:119,2587,0,436,834,292,932,875,1692,1468,1019,1837,1901,2406,1868
person:377,3020,436,0,413,144,516,1306,2049,1902,1388,2269,2304,2838,2180
person:566,3421,834,413,0,547,105,1710,2320,2302,1689,2671,2624,3240,2402
person:583,2878,292,144,547,0,648,1165,1923,1760,1257,2127,2166,2696,2067
person:587,3517,932,516,105,648,0,1807,2379,2397,1758,2768,2695,3336,2448
person:596,1713,875,1306,1710,1165,1807,0,1313,598,800,962,1301,1531,1616
bird:537,1908,1692,2049,2320,1923,2379,1313,0,1256,672,1462,481,1798,351
person:641,1120,1468,1902,2302,1760,2397,598,1256,0,1045,376,1024,940,1605
kite:643,2029,1019,1388,1689,1257,1758,800,672,1045,0,1381,938,1875,886
person:648,751,1837,2269,2671,2127,2768,962,1462,376,1381,0,1121,569,1812
bird:651,1453,1901,2304,2624,2166,2695,1301,481,1024,938,1121,0,1362,775
person:652,184,2406,2838,3240,2696,3336,1531,1798,940,1875,569,1362,0,2128
bird:656,2227,1868,2180,2402,2067,2448,1616,351,1605,886,1812,775,2128,0
