,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,kite:643,person:648,kite:651,person:652,bird:656,backpack:658,person:663
person:3,0,2629,3054,3459,2917,3560,1772,1917,1214,2043,815,1496,205,2252,1010,3670
person:119,2629,0,430,830,288,931,856,1744,1420,1075,1815,1918,2440,1935,1644,1041
person:377,3054,430,0,411,144,518,1282,2104,1848,1444,2241,2318,2867,2252,2074,623
person:566,3459,830,411,0,542,110,1687,2395,2250,1758,2646,2651,3271,2496,2472,211
person:583,2917,288,144,542,0,645,1144,1969,1709,1306,2103,2176,2729,2127,1933,754
person:587,3560,931,518,110,645,0,1787,2457,2348,1829,2745,2725,3370,2544,2569,112
person:596,1772,856,1282,1687,1144,1787,0,1316,568,789,959,1302,1584,1633,799,1897
bird:537,1917,1744,2104,2395,1969,2457,1316,0,1202,668,1376,440,1724,371,1176,2565
person:641,1214,1420,1848,2250,1709,2348,568,1202,0,966,400,1000,1021,1569,235,2460
kite:643,2043,1075,1444,1758,1306,1829,789,668,966,0,1303,898,1837,898,1076,1939
person:648,815,1815,2241,2646,2103,2745,959,1376,400,1303,0,1057,625,1746,227,2856
kite:651,1496,1918,2318,2651,2176,2725,1302,440,1000,898,1057,0,1310,756,896,2836
person:652,205,2440,2867,3271,2729,3370,1584,1724,1021,1837,625,1310,0,2065,811,3481
bird:656,2252,1935,2252,2496,2127,2544,1633,371,1569,898,1746,756,2065,0,1547,2645
backpack:658,1010,1644,2074,2472,1933,2569,799,1176,235,1076,227,896,811,1547,0,2681
person:663,3670,1041,623,211,754,112,1897,2565,2460,1939,2856,2836,3481,2645,2681,0
