,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,kite:643,person:648,kite:651,person:652,bird:656,backpack:658,person:663
person:119,0,434,830,286,931,848,1776,1402,1106,1807,1940,2447,1977,1604,1041
person:377,434,0,406,149,512,1278,2144,1835,1481,2239,2343,2878,2301,2038,617
person:566,830,406,0,546,110,1678,2439,2232,1796,2638,2676,3277,2550,2432,211
person:583,286,149,546,0,649,1133,2008,1688,1342,2093,2199,2732,2177,1890,757
person:587,931,512,110,649,0,1778,2501,2330,1866,2737,2750,3376,2599,2528,113
person:596,848,1278,1678,1133,1778,0,1324,558,788,960,1319,1599,1647,768,1889
bird:537,1776,2144,2439,2008,2501,1324,0,1182,670,1338,413,1679,381,1130,2611
person:641,1402,1835,2232,1688,2330,558,1182,0,932,409,1006,1046,1558,216,2442
kite:643,1106,1481,1796,1342,1866,788,670,932,0,1266,885,1808,907,1011,1978
person:648,1807,2239,2638,2093,2737,960,1338,409,1266,0,1044,639,1718,255,2848
kite:651,1940,2343,2676,2199,2750,1319,413,1006,885,1044,0,1290,736,887,2862
person:652,2447,2878,3277,2732,3376,1599,1679,1046,1808,639,1290,0,2027,858,3487
bird:656,1977,2301,2550,2177,2599,1647,381,1558,907,1718,736,2027,0,1511,2703
backpack:658,1604,2038,2432,1890,2528,768,1130,216,1011,255,887,858,1511,0,2640
person:663,1041,617,211,757,113,1889,2611,2442,1978,2848,2862,3487,2703,2640,0
