,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,kite:643,person:648,bird:651,person:652,bird:656,backpack:658,person:663,kite:665,kite:666
person:119,0,415,828,283,929,837,1810,1382,1138,1805,1983,2451,2020,1567,1043,980,720
person:377,415,0,423,135,530,1248,2166,1796,1500,2217,2369,2863,2337,1981,638,1173,861
person:566,828,423,0,546,110,1666,2482,2211,1834,2634,2718,3280,2607,2393,215,1374,1060
person:583,283,135,546,0,649,1119,2036,1666,1368,2088,2235,2734,2215,1850,761,1075,771
person:587,929,530,110,649,0,1766,2546,2309,1906,2734,2792,3379,2657,2489,115,1415,1105
person:596,837,1248,1666,1119,1766,0,1340,549,788,969,1366,1614,1667,742,1880,1202,1149
bird:537,1810,2166,2482,2036,2546,1340,0,1172,672,1307,384,1638,387,1099,2657,1208,1467
person:641,1382,1796,2211,1666,2309,549,1172,0,896,426,1045,1069,1552,202,2424,1532,1573
kite:643,1138,1500,1834,1368,1906,788,672,896,0,1230,886,1773,920,949,2020,716,885
person:648,1805,2217,2634,2088,2734,969,1307,426,1230,0,1058,645,1693,284,2848,1913,1982
bird:651,1983,2369,2718,2235,2792,1366,384,1045,886,1058,0,1286,702,914,2906,1528,1755
person:652,2451,2863,3280,2734,3379,1614,1638,1069,1773,645,1286,0,1988,899,3493,2483,2589
bird:656,2020,2337,2607,2215,2657,1667,387,1552,920,1693,702,1988,0,1486,2762,1252,1552
backpack:658,1567,1981,2393,1850,2489,742,1099,202,949,284,914,899,1486,0,2605,1628,1702
person:663,1043,638,215,761,115,1880,2657,2424,2020,2848,2906,3493,2762,2605,0,1516,1210
kite:665,980,1173,1374,1075,1415,1202,1208,1532,716,1913,1528,2483,1252,1628,1516,0,317
kite:666,720,861,1060,771,1105,1149,1467,1573,885,1982,1755,2589,1552,1702,1210,317,0
